"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.","Município","Ano"
"1400308","Mucajaí (RR)","393852"
"1400407","Normandia (RR)","202859"
"1400456","Pacaraima (RR)","329092"
"1400472","Rorainópolis (RR)","732356"
"1400506","São João da Baliza (RR)","327768"
"1400605","São Luiz (RR)","178972"
"1400704","Uiramutã (RR)","143945"
"1500107","Abaetetuba (PA)","1949341"
"1500131","Abel Figueiredo (PA)","105496"
"1500206","Acará (PA)","1433440"
"1500305","Afuá (PA)","444236"
"1500347","Água Azul do Norte (PA)","643132"
"1500404","Alenquer (PA)","745403"
"1500503","Almeirim (PA)","688370"
"1500602","Altamira (PA)","3120219"
"1500701","Anajás (PA)","259020"
"1500800","Ananindeua (PA)","8939830"
"1500859","Anapu (PA)","588032"
"1500909","Augusto Corrêa (PA)","363771"
"1500958","Aurora do Pará (PA)","308633"
"1501006","Aveiro (PA)","151969"
"1501105","Bagre (PA)","250548"
"1501204","Baião (PA)","562147"
"1501253","Bannach (PA)","129007"
"1501303","Barcarena (PA)","9243937"
"1501402","Belém (PA)","33467126"
"1501451","Belterra (PA)","237196"
"1501501","Benevides (PA)","1986729"
"1501576","Bom Jesus do Tocantins (PA)","243883"
"1501600","Bonito (PA)","206682"
"1501709","Bragança (PA)","1389573"
"1501725","Brasil Novo (PA)","379813"
"1501758","Brejo Grande do Araguaia (PA)","115088"
"1501782","Breu Branco (PA)","794309"
"1501808","Breves (PA)","893933"
"1501907","Bujaru (PA)","536730"
"1501956","Cachoeira do Piriá (PA)","227634"
"1502004","Cachoeira do Arari (PA)","255830"
"1502103","Cametá (PA)","1393690"
"1502152","Canaã dos Carajás (PA)","34989610"
"1502202","Capanema (PA)","1427144"
"1502301","Capitão Poço (PA)","615773"
"1502400","Castanhal (PA)","4709312"
"1502509","Chaves (PA)","248270"
"1502608","Colares (PA)","100969"
"1502707","Conceição do Araguaia (PA)","662825"
"1502756","Concórdia do Pará (PA)","420236"
"1502764","Cumaru do Norte (PA)","406927"
"1502772","Curionópolis (PA)","3667341"
"1502806","Curralinho (PA)","282512"
"1502855","Curuá (PA)","149717"
"1502905","Curuçá (PA)","369777"
