"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.","Município","Ano"
"2505303","Curral Velho (PB)","26783"
"2505352","Damião (PB)","50276"
"2505402","Desterro (PB)","72715"
"2505501","Vista Serrana (PB)","39390"
"2505600","Diamante (PB)","59345"
"2505709","Dona Inês (PB)","93830"
"2505808","Duas Estradas (PB)","45025"
"2505907","Emas (PB)","41639"
"2506004","Esperança (PB)","507256"
"2506103","Fagundes (PB)","105312"
"2506202","Frei Martinho (PB)","30264"
"2506251","Gado Bravo (PB)","76211"
"2506301","Guarabira (PB)","1790168"
"2506400","Gurinhém (PB)","150970"
"2506509","Gurjão (PB)","38324"
"2506608","Ibiara (PB)","57772"
"2506707","Imaculada (PB)","98314"
"2506806","Ingá (PB)","194961"
"2506905","Itabaiana (PB)","335812"
"2507002","Itaporanga (PB)","341235"
"2507101","Itapororoca (PB)","206433"
"2507200","Itatuba (PB)","155216"
"2507309","Jacaraú (PB)","165130"
"2507408","Jericó (PB)","76303"
"2507507","João Pessoa (PB)","22244284"
"2507606","Juarez Távora (PB)","73121"
"2507705","Juazeirinho (PB)","210329"
"2507804","Junco do Seridó (PB)","96602"
"2507903","Juripiranga (PB)","117363"
"2508000","Juru (PB)","87266"
"2508109","Lagoa (PB)","51232"
"2508208","Lagoa de Dentro (PB)","83537"
"2508307","Lagoa Seca (PB)","309763"
"2508406","Lastro (PB)","29495"
"2508505","Livramento (PB)","70043"
"2508554","Logradouro (PB)","48651"
"2508604","Lucena (PB)","223066"
"2508703","Mãe d'Água (PB)","38604"
"2508802","Malta (PB)","79659"
"2508901","Mamanguape (PB)","805007"
"2509008","Manaíra (PB)","101428"
"2509057","Marcação (PB)","95670"
"2509107","Mari (PB)","241807"
"2509156","Marizópolis (PB)","81944"
"2509206","Massaranduba (PB)","130381"
"2509305","Mataraca (PB)","240531"
"2509339","Matinhas (PB)","54035"
"2509370","Mato Grosso (PB)","31801"
"2509396","Maturéia (PB)","61811"
"2509404","Mogeiro (PB)","164372"
"2509503","Montadas (PB)","55245"
"2509602","Monte Horebe (PB)","48074"
"2509701","Monteiro (PB)","635380"
"2509800","Mulungu (PB)","98150"
"2509909","Natuba (PB)","95465"
"2510006","Nazarezinho (PB)","65965"
"2510105","Nova Floresta (PB)","99606"
"2510204","Nova Olinda (PB)","57802"
"2510303","Nova Palmeira (PB)","48983"
"2510402","Olho d'Água (PB)","61851"
"2510501","Olivedos (PB)","43585"
"2510600","Ouro Velho (PB)","38279"
"2510659","Parari (PB)","21495"
"2510709","Passagem (PB)","28860"
"2510808","Patos (PB)","1993586"
"2510907","Paulista (PB)","157014"
"2511004","Pedra Branca (PB)","37463"
"2511103","Pedra Lavrada (PB)","80075"
"2511202","Pedras de Fogo (PB)","556476"
"2511301","Piancó (PB)","206302"
"2511400","Picuí (PB)","213192"
"2511509","Pilar (PB)","121700"
"2511608","Pilões (PB)","95436"
"2511707","Pilõezinhos (PB)","51216"
"2511806","Pirpirituba (PB)","95103"
"2511905","Pitimbu (PB)","430316"
"2512002","Pocinhos (PB)","284640"
"2512036","Poço Dantas (PB)","40230"
"2512077","Poço de José de Moura (PB)","46792"
"2512101","Pombal (PB)","465068"
"2512200","Prata (PB)","64688"
"2512309","Princesa Isabel (PB)","266345"
"2512408","Puxinanã (PB)","137837"
"2512507","Queimadas (PB)","605759"
"2512606","Quixaba (PB)","26746"
"2512705","Remígio (PB)","181360"
"2512721","Pedro Régis (PB)","57186"
"2512747","Riachão (PB)","36492"
"2512754","Riachão do Bacamarte (PB)","50101"
"2512762","Riachão do Poço (PB)","56187"
"2512788","Riacho de Santo Antônio (PB)","30562"
"2512804","Riacho dos Cavalos (PB)","92585"
"2512903","Rio Tinto (PB)","321971"
"2513000","Salgadinho (PB)","33444"
"2513109","Salgado de São Félix (PB)","128636"
"2513158","Santa Cecília (PB)","65649"
"2513208","Santa Cruz (PB)","62114"
"2513307","Santa Helena (PB)","62162"
"2513356","Santa Inês (PB)","36756"
"2513406","Santa Luzia (PB)","372292"
"2513505","Santana de Mangueira (PB)","51046"
"2513604","Santana dos Garrotes (PB)","67142"
"2513653","Joca Claudino (PB)","33004"
"2513703","Santa Rita (PB)","2616825"
"2513802","Santa Teresinha (PB)","57191"
"2513851","Santo André (PB)","29350"
"2513901","São Bento (PB)","567017"
"2513927","São Bentinho (PB)","55030"
"2513943","São Domingos do Cariri (PB)","28699"
"2513968","São Domingos (PB)","36167"
"2513984","São Francisco (PB)","39118"
"2514008","São João do Cariri (PB)","55295"
"2514107","São João do Tigre (PB)","40920"
"2514206","São José da Lagoa Tapada (PB)","71954"
"2514305","São José de Caiana (PB)","55614"
"2514404","São José de Espinharas (PB)","54850"
"2514453","São José dos Ramos (PB)","86595"
"2514503","São José de Piranhas (PB)","230383"
"2514552","São José de Princesa (PB)","34031"
"2514602","São José do Bonfim (PB)","32366"
"2514651","São José do Brejo do Cruz (PB)","29091"
"2514701","São José do Sabugi (PB)","125142"
"2514800","São José dos Cordeiros (PB)","36927"
"2514909","São Mamede (PB)","82238"
"2515005","São Miguel de Taipu (PB)","82626"
"2515104","São Sebastião de Lagoa de Roça (PB)","105791"
"2515203","São Sebastião do Umbuzeiro (PB)","40405"
"2515302","Sapé (PB)","675778"
"2515401","São Vicente do Seridó (PB)","89888"
"2515500","Serra Branca (PB)","147662"
"2515609","Serra da Raiz (PB)","37034"
"2515708","Serra Grande (PB)","33183"
"2515807","Serra Redonda (PB)","71218"
"2515906","Serraria (PB)","67690"
"2515930","Sertãozinho (PB)","54676"
"2515971","Sobrado (PB)","112659"
"2516003","Solânea (PB)","353078"
"2516102","Soledade (PB)","203480"
"2516151","Sossêgo (PB)","38719"
"2516201","Sousa (PB)","1318529"
"2516300","Sumé (PB)","200877"
"2516409","Tacima (PB)","91696"
"2516508","Taperoá (PB)","139192"
"2516607","Tavares (PB)","139900"
"2516706","Teixeira (PB)","169085"
"2516755","Tenório (PB)","34478"
"2516805","Triunfo (PB)","87468"
"2516904","Uiraúna (PB)","192520"
"2517001","Umbuzeiro (PB)","91142"
"2517100","Várzea (PB)","37561"
"2517209","Vieirópolis (PB)","52689"
"2517407","Zabelê (PB)","26961"
"2600054","Abreu e Lima (PE)","1724258"
"2600104","Afogados da Ingazeira (PE)","541816"
"2600203","Afrânio (PE)","209815"
"2600302","Agrestina (PE)","352858"
"2600401","Água Preta (PE)","259866"
"2600500","Águas Belas (PE)","401111"
"2600609","Alagoinha (PE)","144945"
"2600708","Aliança (PE)","413314"
"2600807","Altinho (PE)","222589"
"2600906","Amaraji (PE)","294407"
"2601003","Angelim (PE)","142260"
"2601052","Araçoiaba (PE)","161884"
"2601102","Araripina (PE)","1272092"
"2601201","Arcoverde (PE)","1215383"
"2601300","Barra de Guabiraba (PE)","146943"
"2601409","Barreiros (PE)","503988"
"2601508","Belém de Maria (PE)","99499"
"2601607","Belém do São Francisco (PE)","366293"
"2601706","Belo Jardim (PE)","2765036"
"2601805","Betânia (PE)","105307"
"2601904","Bezerros (PE)","962826"
"2602001","Bodocó (PE)","317010"
"2602100","Bom Conselho (PE)","643151"
"2602209","Bom Jardim (PE)","366988"
"2602308","Bonito (PE)","539340"
"2602407","Brejão (PE)","183679"
"2602506","Brejinho (PE)","83879"
"2602605","Brejo da Madre de Deus (PE)","461357"
"2602704","Buenos Aires (PE)","133152"
"2602803","Buíque (PE)","549015"
"2602902","Cabo de Santo Agostinho (PE)","13706389"
"2603009","Cabrobó (PE)","440863"
"2603108","Cachoeirinha (PE)","254369"
"2603207","Caetés (PE)","423727"
"2603306","Calçado (PE)","115299"
"2603405","Calumbi (PE)","50300"
"2603454","Camaragibe (PE)","2229680"
"2603504","Camocim de São Félix (PE)","181161"
"2603603","Camutanga (PE)","285369"
"2603702","Canhotinho (PE)","253171"
"2603801","Capoeiras (PE)","244054"
"2603900","Carnaíba (PE)","193546"
"2603926","Carnaubeira da Penha (PE)","83423"
"2604007","Carpina (PE)","1744915"
"2604106","Caruaru (PE)","8663525"
"2604155","Casinhas (PE)","101521"
"2604205","Catende (PE)","360566"
"2604304","Cedro (PE)","125401"
"2604403","Chã de Alegria (PE)","168758"
"2604502","Chã Grande (PE)","251193"
"2604601","Condado (PE)","250915"
"2604700","Correntes (PE)","192016"
"2604809","Cortês (PE)","121502"
"2604908","Cumaru (PE)","109260"
"2605004","Cupira (PE)","283576"
"2605103","Custódia (PE)","593880"
"2605152","Dormentes (PE)","246023"
"2605202","Escada (PE)","1306431"
"2605301","Exu (PE)","325117"
"2605400","Feira Nova (PE)","247550"
"2605459","Fernando de Noronha (PE)","229562"
"2605509","Ferreiros (PE)","132503"
"2605608","Flores (PE)","192902"
"2605707","Floresta (PE)","445213"
"2605806","Frei Miguelinho (PE)","131441"
"2605905","Gameleira (PE)","274258"
"2606002","Garanhuns (PE)","3077112"
"2606101","Glória do Goitá (PE)","554616"
"2606200","Goiana (PE)","10662964"
"2606309","Granito (PE)","78432"
"2606408","Gravatá (PE)","1359681"
"2606507","Iati (PE)","195800"
"2606606","Ibimirim (PE)","330119"
"2606705","Ibirajuba (PE)","85527"
"2606804","Igarassu (PE)","3471427"
"2606903","Iguaracy (PE)","112369"
"2607000","Inajá (PE)","196880"
"2607109","Ingazeira (PE)","50497"
"2607208","Ipojuca (PE)","14929346"
"2607307","Ipubi (PE)","340374"
"2607406","Itacuruba (PE)","71286"
"2607505","Itaíba (PE)","283413"
"2607604","Ilha de Itamaracá (PE)","299232"
"2607653","Itambé (PE)","522657"
"2607703","Itapetim (PE)","139873"
"2607752","Itapissuma (PE)","2383641"
"2607802","Itaquitinga (PE)","160857"
"2607901","Jaboatão dos Guararapes (PE)","16133556"
"2607950","Jaqueira (PE)","111801"
"2608008","Jataúba (PE)","154862"
"2608057","Jatobá (PE)","153793"
"2608107","João Alfredo (PE)","316644"
"2608206","Joaquim Nabuco (PE)","181310"
"2608255","Jucati (PE)","129270"
"2608305","Jupi (PE)","214224"
"2608404","Jurema (PE)","132840"
"2608453","Lagoa do Carro (PE)","300635"
"2608503","Lagoa de Itaenga (PE)","482859"
"2608602","Lagoa do Ouro (PE)","139223"
"2608701","Lagoa dos Gatos (PE)","135443"
"2608750","Lagoa Grande (PE)","456844"
"2608800","Lajedo (PE)","585576"
"2608909","Limoeiro (PE)","838343"
"2609006","Macaparana (PE)","283578"
"2609105","Machados (PE)","216295"
"2609154","Manari (PE)","139153"
"2609204","Maraial (PE)","92490"
"2609303","Mirandiba (PE)","163406"
"2609402","Moreno (PE)","892506"
"2609501","Nazaré da Mata (PE)","688468"
"2609600","Olinda (PE)","5788250"
"2609709","Orobó (PE)","398794"
"2609808","Orocó (PE)","186448"
"2609907","Ouricuri (PE)","780513"
"2610004","Palmares (PE)","924146"
"2610103","Palmeirina (PE)","79959"
"2610202","Panelas (PE)","229556"
"2610301","Paranatama (PE)","285773"
"2610400","Parnamirim (PE)","213190"
"2610509","Passira (PE)","264547"
"2610608","Paudalho (PE)","926328"
"2610707","Paulista (PE)","5591652"
"2610806","Pedra (PE)","306398"
"2610905","Pesqueira (PE)","869651"
"2611002","Petrolândia (PE)","1675876"
"2611101","Petrolina (PE)","7994036"
"2611200","Poção (PE)","102107"
"2611309","Pombos (PE)","532583"
"2611408","Primavera (PE)","291696"
"2611507","Quipapá (PE)","192325"
"2611533","Quixaba (PE)","67064"
"2611606","Recife (PE)","54970305"
"2611705","Riacho das Almas (PE)","260563"
"2611804","Ribeirão (PE)","576407"
"2611903","Rio Formoso (PE)","379871"
"2612000","Sairé (PE)","176225"
"2612109","Salgadinho (PE)","80938"
"2612208","Salgueiro (PE)","1002105"
"2612307","Saloá (PE)","171051"
"2612406","Sanharó (PE)","248264"
"2612455","Santa Cruz (PE)","133592"
"2612471","Santa Cruz da Baixa Verde (PE)","113554"
"2612505","Santa Cruz do Capibaribe (PE)","1925734"
"2612554","Santa Filomena (PE)","111830"
"2612604","Santa Maria da Boa Vista (PE)","564000"
"2612703","Santa Maria do Cambucá (PE)","122262"
"2612802","Santa Terezinha (PE)","114824"
"2612901","São Benedito do Sul (PE)","117017"
"2613008","São Bento do Una (PE)","1485706"
"2613107","São Caitano (PE)","447679"
"2613206","São João (PE)","390211"
"2613305","São Joaquim do Monte (PE)","185467"
"2613404","São José da Coroa Grande (PE)","291007"
"2613503","São José do Belmonte (PE)","341544"
"2613602","São José do Egito (PE)","441117"
"2613701","São Lourenço da Mata (PE)","1444200"
"2613800","São Vicente Férrer (PE)","209528"
"2613909","Serra Talhada (PE)","1693347"
"2614006","Serrita (PE)","161153"
"2614105","Sertânia (PE)","367389"
"2614204","Sirinhaém (PE)","722495"
"2614303","Moreilândia (PE)","90987"
"2614402","Solidão (PE)","56661"
"2614501","Surubim (PE)","915558"
"2614600","Tabira (PE)","314903"
"2614709","Tacaimbó (PE)","149159"
"2614808","Tacaratu (PE)","251978"
"2614857","Tamandaré (PE)","395834"
"2615003","Taquaritinga do Norte (PE)","334642"
"2615102","Terezinha (PE)","75618"
"2615201","Terra Nova (PE)","95262"
"2615300","Timbaúba (PE)","746607"
"2615409","Toritama (PE)","764572"
"2615508","Tracunhaém (PE)","176619"
"2615607","Trindade (PE)","419024"
"2615706","Triunfo (PE)","157358"
"2615805","Tupanatinga (PE)","227130"
"2615904","Tuparetama (PE)","89139"
"2616001","Venturosa (PE)","247349"
"2616100","Verdejante (PE)","80931"
"2616183","Vertente do Lério (PE)","74060"
"2616209","Vertentes (PE)","194511"
"2616308","Vicência (PE)","519426"
"2616407","Vitória de Santo Antão (PE)","4551843"
"2616506","Xexéu (PE)","141411"
"2700102","Água Branca (AL)","202655"
"2700201","Anadia (AL)","250457"
"2700300","Arapiraca (AL)","5915938"
"2700409","Atalaia (AL)","1500344"
"2700508","Barra de Santo Antônio (AL)","262005"
"2700607","Barra de São Miguel (AL)","238431"
"2700706","Batalha (AL)","229933"
"2700805","Belém (AL)","191318"
"2700904","Belo Monte (AL)","151387"
"2701001","Boca da Mata (AL)","506028"
"2701100","Branquinha (AL)","775410"
"2701209","Cacimbinhas (AL)","140461"
"2701308","Cajueiro (AL)","207869"
"2701357","Campestre (AL)","87759"
"2701407","Campo Alegre (AL)","734648"
"2701506","Campo Grande (AL)","106114"
"2701605","Canapi (AL)","166475"
"2701704","Capela (AL)","247981"
"2701803","Carneiros (AL)","90775"
"2701902","Chã Preta (AL)","175471"
"2702009","Coité do Nóia (AL)","211484"
"2702108","Colônia Leopoldina (AL)","397369"
"2702207","Coqueiro Seco (AL)","96036"
"2702306","Coruripe (AL)","1782442"
"2702355","Craíbas (AL)","480702"
"2702405","Delmiro Gouveia (AL)","673800"
"2702504","Dois Riachos (AL)","105248"
"2702553","Estrela de Alagoas (AL)","154329"
"2702603","Feira Grande (AL)","427545"
"2702702","Feliz Deserto (AL)","164023"
"2702801","Flexeiras (AL)","297765"
"2702900","Girau do Ponciano (AL)","549523"
"2703007","Ibateguara (AL)","196463"
"2703106","Igaci (AL)","311914"
"2703205","Igreja Nova (AL)","571817"
"2703304","Inhapi (AL)","174741"
"2703403","Jacaré dos Homens (AL)","74940"
"2703502","Jacuípe (AL)","194514"
"2703601","Japaratinga (AL)","251980"
"2703700","Jaramataia (AL)","77882"
"2703759","Jequiá da Praia (AL)","381989"
"2703809","Joaquim Gomes (AL)","520955"
"2703908","Jundiá (AL)","54787"
"2704005","Junqueiro (AL)","550024"
"2704104","Lagoa da Canoa (AL)","273016"
"2704203","Limoeiro de Anadia (AL)","685127"
"2704302","Maceió (AL)","27484016"
"2704401","Major Isidoro (AL)","283425"
"2704500","Maragogi (AL)","1118831"
"2704609","Maravilha (AL)","90740"
"2704708","Marechal Deodoro (AL)","3409483"
"2704807","Maribondo (AL)","187982"
"2704906","Mar Vermelho (AL)","50940"
"2705002","Mata Grande (AL)","354594"
"2705101","Matriz de Camaragibe (AL)","385866"
"2705200","Messias (AL)","221090"
"2705309","Minador do Negrão (AL)","74500"
"2705408","Monteirópolis (AL)","80981"
"2705507","Murici (AL)","588108"
"2705606","Novo Lino (AL)","187226"
"2705705","Olho d'Água das Flores (AL)","271775"
"2705804","Olho d'Água do Casado (AL)","92933"
"2705903","Olho d'Água Grande (AL)","69586"
"2706000","Olivença (AL)","108843"
"2706109","Ouro Branco (AL)","110449"
"2706208","Palestina (AL)","45911"
"2706307","Palmeira dos Índios (AL)","1181478"
"2706406","Pão de Açúcar (AL)","266596"
"2706422","Pariconha (AL)","144982"
"2706448","Paripueira (AL)","236804"
"2706505","Passo de Camaragibe (AL)","337319"
"2706604","Paulo Jacinto (AL)","109870"
"2706703","Penedo (AL)","983851"
"2706802","Piaçabuçu (AL)","458381"
"2706901","Pilar (AL)","676106"
"2707008","Pindoba (AL)","59434"
"2707107","Piranhas (AL)","344018"
"2707206","Poço das Trincheiras (AL)","125601"
"2707305","Porto Calvo (AL)","412849"
"2707404","Porto de Pedras (AL)","333198"
"2707503","Porto Real do Colégio (AL)","268867"
"2707602","Quebrangulo (AL)","189051"
"2707701","Rio Largo (AL)","1422909"
"2707800","Roteiro (AL)","204122"
"2707909","Santa Luzia do Norte (AL)","277385"
"2708006","Santana do Ipanema (AL)","646282"
"2708105","Santana do Mundaú (AL)","1408563"
"2708204","São Brás (AL)","129322"
"2708303","São José da Laje (AL)","587965"
"2708402","São José da Tapera (AL)","332789"
"2708501","São Luís do Quitunde (AL)","943656"
"2708600","São Miguel dos Campos (AL)","1372933"
"2708709","São Miguel dos Milagres (AL)","243468"
"2708808","São Sebastião (AL)","858796"
"2708907","Satuba (AL)","260967"
"2708956","Senador Rui Palmeira (AL)","121169"
"2709004","Tanque d'Arca (AL)","92156"
"2709103","Taquarana (AL)","510804"
"2709152","Teotônio Vilela (AL)","1357674"
"2709202","Traipu (AL)","296950"
"2709301","União dos Palmares (AL)","1416031"
"2709400","Viçosa (AL)","594121"
"2800100","Amparo do São Francisco (SE)","37967"
"2800209","Aquidabã (SE)","287874"
"2800308","Aracaju (SE)","18405678"
"2800407","Arauá (SE)","140122"
"2800506","Areia Branca (SE)","252263"
"2800605","Barra dos Coqueiros (SE)","2581592"
"2800670","Boquim (SE)","333080"
"2800704","Brejo Grande (SE)","95886"
"2801009","Campo do Brito (SE)","237677"
"2801108","Canhoba (SE)","84436"
"2801207","Canindé de São Francisco (SE)","2895222"
"2801306","Capela (SE)","385290"
"2801405","Carira (SE)","379818"
"2801504","Carmópolis (SE)","422601"
"2801603","Cedro de São João (SE)","64293"
"2801702","Cristinápolis (SE)","250777"
"2801900","Cumbe (SE)","69489"
"2802007","Divina Pastora (SE)","188619"
"2802106","Estância (SE)","2126563"
"2802205","Feira Nova (SE)","114918"
"2802304","Frei Paulo (SE)","324741"
"2802403","Gararu (SE)","179511"
"2802502","General Maynard (SE)","43532"
"2802601","Graccho Cardoso (SE)","100982"
"2802700","Ilha das Flores (SE)","101815"
"2802809","Indiaroba (SE)","229670"
"2802908","Itabaiana (SE)","2213275"
"2803005","Itabaianinha (SE)","535797"
"2803104","Itabi (SE)","81127"
"2803203","Itaporanga d'Ajuda (SE)","880245"
"2803302","Japaratuba (SE)","527939"
"2803401","Japoatã (SE)","210654"
"2803500","Lagarto (SE)","1798319"
"2803609","Laranjeiras (SE)","1162007"
"2803708","Macambira (SE)","89535"
"2803807","Malhada dos Bois (SE)","52760"
"2803906","Malhador (SE)","173218"
"2804003","Maruim (SE)","448414"
"2804102","Moita Bonita (SE)","206468"
"2804201","Monte Alegre de Sergipe (SE)","218953"
"2804300","Muribeca (SE)","96660"
"2804409","Neópolis (SE)","330966"
"2804458","Nossa Senhora Aparecida (SE)","109900"
"2804508","Nossa Senhora da Glória (SE)","790790"
"2804607","Nossa Senhora das Dores (SE)","415736"
"2804706","Nossa Senhora de Lourdes (SE)","91165"
"2804805","Nossa Senhora do Socorro (SE)","3232698"
"2804904","Pacatuba (SE)","236643"
"2805000","Pedra Mole (SE)","48012"
"2805109","Pedrinhas (SE)","98936"
"2805208","Pinhão (SE)","91574"
"2805307","Pirambu (SE)","137922"
"2805406","Poço Redondo (SE)","416245"
"2805505","Poço Verde (SE)","322302"
"2805604","Porto da Folha (SE)","366553"
"2805703","Propriá (SE)","554299"
"2805802","Riachão do Dantas (SE)","328904"
"2805901","Riachuelo (SE)","222401"
"2806008","Ribeirópolis (SE)","339443"
"2806107","Rosário do Catete (SE)","468956"
"2806206","Salgado (SE)","217519"
"2806305","Santa Luzia do Itanhy (SE)","192690"
"2806404","Santana do São Francisco (SE)","106773"
"2806503","Santa Rosa de Lima (SE)","55084"
"2806602","Santo Amaro das Brotas (SE)","167665"
"2806701","São Cristóvão (SE)","1031740"
"2806800","São Domingos (SE)","135227"
"2806909","São Francisco (SE)","56034"
"2807006","São Miguel do Aleixo (SE)","49842"
"2807105","Simão Dias (SE)","790408"
"2807204","Siriri (SE)","176736"
"2807303","Telha (SE)","44121"
"2807402","Tobias Barreto (SE)","655791"
"2807501","Tomar do Geru (SE)","146965"
"2807600","Umbaúba (SE)","401569"
"2900108","Abaíra (BA)","70195"
"2900207","Abaré (BA)","208558"
"2900306","Acajutiba (BA)","144529"
"2900355","Adustina (BA)","240690"
"2900405","Água Fria (BA)","158468"
"2900504","Érico Cardoso (BA)","78063"
"2900603","Aiquara (BA)","53718"
"2900702","Alagoinhas (BA)","4532743"
"2900801","Alcobaça (BA)","347478"
"2900900","Almadina (BA)","62876"
"2901007","Amargosa (BA)","463881"
"2901106","Amélia Rodrigues (BA)","437584"
"2901155","América Dourada (BA)","167946"
"2901205","Anagé (BA)","224877"
"2901304","Andaraí (BA)","134558"
"2901353","Andorinha (BA)","223452"
"2901403","Angical (BA)","190448"
"2901502","Anguera (BA)","78758"
"2901601","Antas (BA)","160798"
"2901700","Antônio Cardoso (BA)","124218"
"2901809","Antônio Gonçalves (BA)","82702"
"2901908","Aporá (BA)","148644"
"2901957","Apuarema (BA)","74300"
"2902005","Aracatu (BA)","145739"
"2902054","Araçás (BA)","299165"
"2902104","Araci (BA)","491399"
"2902203","Aramari (BA)","103771"
"2902252","Arataca (BA)","101501"
"2902302","Aratuípe (BA)","79976"
"2902401","Aurelino Leal (BA)","137001"
"2902500","Baianópolis (BA)","263823"
"2902609","Baixa Grande (BA)","194657"
"2902658","Banzaê (BA)","113597"
"2902708","Barra (BA)","430649"
"2902807","Barra da Estiva (BA)","377673"
"2902906","Barra do Choça (BA)","573526"
"2903003","Barra do Mendes (BA)","115910"
"2903102","Barra do Rocha (BA)","77901"
"2903201","Barreiras (BA)","7006121"
"2903235","Barro Alto (BA)","112884"
"2903276","Barrocas (BA)","346146"
"2903300","Barro Preto (BA)","79914"
"2903409","Belmonte (BA)","373714"
"2903508","Belo Campo (BA)","169601"
"2903607","Biritinga (BA)","145438"
"2903706","Boa Nova (BA)","111607"
"2903805","Boa Vista do Tupim (BA)","155317"
"2903904","Bom Jesus da Lapa (BA)","1357879"
"2903953","Bom Jesus da Serra (BA)","69959"
"2904001","Boninal (BA)","117992"
"2904050","Bonito (BA)","270741"
"2904100","Boquira (BA)","189091"
"2904209","Botuporã (BA)","110038"
"2904308","Brejões (BA)","144331"
"2904407","Brejolândia (BA)","126261"
"2904506","Brotas de Macaúbas (BA)","96549"
"2904605","Brumado (BA)","1783351"
"2904704","Buerarema (BA)","208933"
"2904753","Buritirama (BA)","154989"
"2904803","Caatiba (BA)","77401"
"2904852","Cabaceiras do Paraguaçu (BA)","141199"
"2904902","Cachoeira (BA)","479279"
"2905008","Caculé (BA)","364286"
"2905107","Caém (BA)","92294"
"2905156","Caetanos (BA)","102571"
"2905206","Caetité (BA)","1098650"
"2905305","Cafarnaum (BA)","217397"
"2905404","Cairu (BA)","1505542"
"2905503","Caldeirão Grande (BA)","101982"
"2905602","Camacan (BA)","354422"
"2905701","Camaçari (BA)","33971705"
"2905800","Camamu (BA)","468403"
"2905909","Campo Alegre de Lourdes (BA)","295491"
"2906006","Campo Formoso (BA)","2072637"
"2906105","Canápolis (BA)","84960"
"2906204","Canarana (BA)","258822"
"2906303","Canavieiras (BA)","395602"
"2906402","Candeal (BA)","67793"
"2906501","Candeias (BA)","6819267"
"2906600","Candiba (BA)","140828"
"2906709","Cândido Sales (BA)","244706"
"2906808","Cansanção (BA)","352801"
"2906824","Canudos (BA)","153151"
"2906857","Capela do Alto Alegre (BA)","129534"
"2906873","Capim Grosso (BA)","579808"
"2906899","Caraíbas (BA)","86202"
"2906907","Caravelas (BA)","357882"
"2907004","Cardeal da Silva (BA)","117727"
"2907103","Carinhanha (BA)","288562"
"2907202","Casa Nova (BA)","875278"
"2907301","Castro Alves (BA)","317241"
"2907400","Catolândia (BA)","80901"
"2907509","Catu (BA)","695391"
"2907558","Caturama (BA)","78262"
"2907608","Central (BA)","154525"
"2907707","Chorrochó (BA)","105494"
"2907806","Cícero Dantas (BA)","400073"
"2907905","Cipó (BA)","155394"
"2908002","Coaraci (BA)","191076"
"2908101","Cocos (BA)","559871"
"2908200","Conceição da Feira (BA)","376055"
"2908309","Conceição do Almeida (BA)","200262"
"2908408","Conceição do Coité (BA)","884633"
"2908507","Conceição do Jacuípe (BA)","2761128"
"2908606","Conde (BA)","288929"
"2908705","Condeúba (BA)","171066"
"2908804","Contendas do Sincorá (BA)","50778"
"2908903","Coração de Maria (BA)","226366"
"2909000","Cordeiros (BA)","70770"
"2909109","Coribe (BA)","169096"
"2909208","Coronel João Sá (BA)","175256"
"2909307","Correntina (BA)","3280079"
"2909406","Cotegipe (BA)","171353"
"2909505","Cravolândia (BA)","45909"
"2909604","Crisópolis (BA)","206124"
"2909703","Cristópolis (BA)","157843"
"2909802","Cruz das Almas (BA)","1042406"
"2909901","Curaçá (BA)","355221"
"2910008","Dário Meira (BA)","126141"
"2910057","Dias d'Ávila (BA)","3050432"
"2910107","Dom Basílio (BA)","142303"
"2910206","Dom Macedo Costa (BA)","43212"
"2910305","Elísio Medrado (BA)","76733"
"2910404","Encruzilhada (BA)","256185"
"2910503","Entre Rios (BA)","681650"
"2910602","Esplanada (BA)","731909"
"2910701","Euclides da Cunha (BA)","795415"
"2910727","Eunápolis (BA)","3203016"
"2910750","Fátima (BA)","280112"
"2910776","Feira da Mata (BA)","63085"
"2910800","Feira de Santana (BA)","17282198"
"2910859","Filadélfia (BA)","139371"
"2910909","Firmino Alves (BA)","70867"
"2911006","Floresta Azul (BA)","101546"
"2911105","Formosa do Rio Preto (BA)","4608377"
"2911204","Gandu (BA)","461233"
"2911253","Gavião (BA)","49919"
"2911303","Gentio do Ouro (BA)","133459"
"2911402","Glória (BA)","254127"
"2911501","Gongogi (BA)","76467"
"2911600","Governador Mangabeira (BA)","221997"
"2911659","Guajeru (BA)","68686"
"2911709","Guanambi (BA)","1654710"
"2911808","Guaratinga (BA)","279481"
"2911857","Heliópolis (BA)","140665"
"2911907","Iaçu (BA)","237150"
"2912004","Ibiassucê (BA)","98956"
"2912103","Ibicaraí (BA)","206801"
"2912202","Ibicoara (BA)","443354"
"2912301","Ibicuí (BA)","196349"
"2912400","Ibipeba (BA)","177793"
"2912509","Ibipitanga (BA)","117480"
"2912608","Ibiquera (BA)","37334"
"2912707","Ibirapitanga (BA)","285846"
"2912806","Ibirapuã (BA)","450707"
"2912905","Ibirataia (BA)","207383"
"2913002","Ibitiara (BA)","113705"
"2913101","Ibititá (BA)","155482"
"2913200","Ibotirama (BA)","415583"
"2913309","Ichu (BA)","56391"
"2913408","Igaporã (BA)","198335"
"2913457","Igrapiúna (BA)","211145"
"2913507","Iguaí (BA)","246443"
"2913606","Ilhéus (BA)","5163623"
"2913705","Inhambupe (BA)","625799"
